Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
29.0,1,1,12.0,3,1,2,3.0,0,3.0,0,2.0,0,3,0,0.0,1,18131.0
48.0,0,3,34.0,2,0,4,2.0,1,3.0,3,6.0,1,4,1,3.0,2,25075.0
32.0,1,1,15.0,2,1,3,3.0,1,3.0,1,2.0,1,5,1,2.0,2,21322.0
36.0,1,1,14.0,2,2,4,4.0,0,4.0,3,3.0,1,3,1,2.0,1,24041.0
30.0,0,3,9.0,2,2,4,4.0,1,3.0,0,3.0,0,2,1,2.0,2,23327.0
35.0,0,1,9.0,2,2,4,4.0,1,3.0,3,4.0,0,4,1,3.0,2,22711.0
54.0,1,1,13.0,2,2,3,4.0,1,3.0,2,4.0,0,5,1,2.0,2,21128.0
35.0,0,3,26.0,3,2,4,2.0,1,3.0,3,2.0,1,1,0,1.0,2,23982.0
41.0,0,1,16.0,3,2,3,4.0,0,4.0,1,2.0,1,4,0,1.0,1,22295.0
25.0,1,1,25.0,2,2,3,4.0,0,3.0,1,2.0,0,4,0,1.0,1,21452.0
37.0,0,1,11.0,2,1,4,4.0,1,4.0,1,2.0,0,3,1,2.0,2,23809.0
30.0,1,3,6.0,2,2,3,4.0,1,5.0,1,2.0,0,4,1,1.0,2,24714.0
32.0,1,3,17.0,3,1,3,4.0,1,3.0,1,4.0,1,1,0,1.0,2,25261.0
34.0,1,3,12.0,3,1,3,4.0,0,3.0,3,3.0,1,2,1,1.0,1,21529.0
20.0,1,1,10.0,1,2,2,3.0,0,5.0,2,2.0,0,3,1,1.0,1,17973.0
37.0,1,1,10.0,2,2,4,2.0,1,5.0,1,8.0,0,1,1,3.0,2,25520.0
30.0,0,3,32.0,3,1,2,4.0,1,5.0,3,6.0,0,1,1,1.0,2,21696.0
34.0,0,1,13.0,2,2,2,4.0,1,3.0,1,5.0,0,5,1,1.0,2,26403.0
33.0,1,1,9.0,1,2,3,5.0,1,5.0,2,6.0,0,4,0,2.0,2,20854.0
38.0,0,1,18.0,2,2,3,4.0,3,3.0,1,3.0,1,3,1,2.0,3,30863.0
35.0,1,3,11.0,2,2,4,4.0,3,3.0,1,4.0,1,4,0,3.0,3,28391.0
29.0,1,1,34.0,3,1,3,6.0,1,5.0,1,2.0,0,4,1,1.0,2,23886.0
41.0,1,1,17.0,2,1,3,3.0,0,3.0,0,5.0,1,3,0,2.0,1,20891.0
59.0,0,2,8.0,2,1,2,4.0,2,3.0,1,1.0,0,1,0,1.0,4,33844.0
56.0,0,3,9.0,2,1,3,5.0,0,3.0,2,2.0,0,5,0,1.0,1,32255.0
28.0,0,1,10.0,3,2,3,4.0,0,3.0,0,3.0,0,2,1,1.0,1,20384.0
28.0,1,1,9.0,3,2,3,4.0,0,4.0,0,2.0,0,5,1,1.0,1,22146.0
27.0,1,3,8.0,3,1,2,1.0,1,3.0,3,1.0,0,1,0,1.0,2,21500.0
50.0,0,2,9.0,3,2,3,3.0,2,4.0,1,2.0,0,1,1,2.0,4,33200.0
38.0,1,1,6.0,2,1,2,3.0,3,3.0,3,5.0,1,1,0,1.0,3,22861.0
34.0,1,1,11.0,3,0,2,4.0,3,5.0,3,3.0,0,2,0,0.0,3,26631.0
42.0,1,1,10.0,1,2,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,34232.0
31.0,0,1,12.0,2,2,4,5.0,0,3.0,1,2.0,0,5,0,1.0,1,22439.0
37.0,1,2,20.0,2,2,3,4.0,0,4.0,0,6.0,0,3,1,1.0,1,20821.0
46.0,1,3,8.0,3,1,2,3.0,2,5.0,2,4.0,0,2,0,1.0,4,33947.0
41.0,0,3,10.0,3,2,2,3.0,1,4.0,3,2.0,0,3,1,0.0,2,24355.0
56.0,0,1,15.0,3,2,3,5.0,4,4.0,1,3.0,1,3,1,2.0,0,32255.0
27.0,1,1,9.0,3,2,3,5.0,0,3.0,3,2.0,0,3,0,1.0,1,22582.0
44.0,1,1,16.0,2,2,3,3.0,0,3.0,2,2.0,1,3,1,2.0,1,17936.0
29.0,1,1,7.0,2,2,4,5.0,0,3.0,1,3.0,0,4,0,2.0,1,20241.0
29.0,1,1,6.0,1,2,2,3.0,0,3.0,2,1.0,0,2,0,0.0,1,17058.0
32.0,0,1,6.0,2,1,3,4.0,0,4.0,1,7.0,0,3,0,2.0,1,17332.0
35.0,0,1,23.0,2,1,4,5.0,0,3.0,2,3.0,0,5,1,3.0,1,21231.0
33.0,1,1,14.0,2,2,2,1.0,0,5.0,1,7.0,0,3,1,1.0,1,18143.0
33.0,0,3,33.0,3,2,4,4.0,1,3.0,0,2.0,0,4,1,3.0,2,23143.0
43.0,0,1,33.0,2,1,2,3.0,3,5.0,1,1.0,0,4,1,0.0,3,25820.0
44.0,1,2,9.0,2,2,4,4.0,0,3.0,3,2.0,0,1,0,1.0,1,22217.0
29.0,1,1,16.0,3,1,4,4.0,0,3.0,1,7.0,0,3,1,2.0,1,21055.0
21.0,1,1,11.0,1,2,3,4.0,0,5.0,3,3.0,0,3,1,1.0,1,21651.0
38.0,1,3,9.0,3,2,4,4.0,1,3.0,1,6.0,1,3,0,3.0,2,28280.0
39.0,1,3,8.0,2,2,2,1.0,3,3.0,3,1.0,0,2,1,1.0,3,22880.0
34.0,1,3,15.0,2,1,3,3.0,1,3.0,1,2.0,0,1,0,0.0,2,20714.0
37.0,1,1,7.0,2,1,3,4.0,1,4.0,0,2.0,0,5,0,1.0,2,23906.0
51.0,1,1,12.0,2,2,2,3.0,2,3.0,2,1.0,0,5,1,0.0,4,34537.0
35.0,1,1,12.0,2,2,2,5.0,1,3.0,3,2.0,0,5,1,0.0,2,21646.0
37.0,1,1,10.0,2,1,3,4.0,0,3.0,1,7.0,0,1,0,2.0,1,21513.0
47.0,1,1,8.0,2,1,2,3.0,4,3.0,1,2.0,1,4,1,0.0,0,31752.0
29.0,1,1,14.0,3,2,3,4.0,1,3.0,0,2.0,1,3,0,0.0,2,20056.0
56.0,1,1,6.0,2,1,2,3.0,0,5.0,0,3.0,0,5,1,1.0,1,17066.0
40.0,0,1,32.0,3,1,2,3.0,1,4.0,1,2.0,0,2,1,0.0,2,20605.0
42.0,0,1,9.0,2,0,4,5.0,1,3.0,3,4.0,1,1,0,1.0,2,25489.0
45.0,1,3,19.0,3,2,2,1.0,4,3.0,2,7.0,1,3,1,0.0,0,33824.0
45.0,0,1,8.0,3,2,3,4.0,4,3.0,0,1.0,0,4,1,0.0,0,31792.0
41.0,1,3,8.0,2,2,2,3.0,4,4.0,2,2.0,0,3,1,1.0,0,31015.0
51.0,1,3,32.0,3,1,3,3.0,4,3.0,0,3.0,0,3,0,1.0,0,31307.0
32.0,1,1,7.0,2,2,4,5.0,0,5.0,1,3.0,0,4,1,2.0,1,20896.0
28.0,1,3,15.0,2,2,3,3.0,1,3.0,2,2.0,0,3,1,0.0,2,20253.0
32.0,1,1,12.0,1,2,3,4.0,0,3.0,0,2.0,1,4,0,2.0,1,23499.0
43.0,1,1,10.0,2,1,4,2.0,1,3.0,0,4.0,1,5,0,1.0,2,23909.0
38.0,1,1,9.0,0,2,4,5.0,0,3.0,2,8.0,1,3,0,1.0,1,20768.0
46.0,0,3,11.0,3,2,3,3.0,1,3.0,2,5.0,1,5,1,1.0,2,20772.0
44.0,1,3,32.0,3,2,4,5.0,3,3.0,1,7.0,0,4,1,2.0,3,29476.0
41.0,1,3,29.0,3,2,4,5.0,1,3.0,0,4.0,1,3,1,2.0,2,25058.0
40.0,1,1,21.0,2,1,3,4.0,3,3.0,1,2.0,0,1,1,1.0,3,25435.0
42.0,0,3,32.0,3,1,3,3.0,4,4.0,0,6.0,0,3,1,2.0,0,28525.0
40.0,1,2,10.0,2,1,3,2.0,1,4.0,1,2.0,0,1,0,1.0,2,25067.0
27.0,1,1,23.0,2,1,2,3.0,0,3.0,2,2.0,1,5,1,0.0,1,17394.0
48.0,1,3,8.0,3,2,2,4.0,1,4.0,3,1.0,1,1,1,0.0,2,22898.0
39.0,1,1,16.0,3,2,3,3.0,1,5.0,1,3.0,0,5,1,2.0,2,20377.0
36.0,1,1,29.0,2,2,3,6.0,0,3.0,3,2.0,0,4,1,2.0,1,22908.0
51.0,1,3,10.0,3,2,3,5.0,0,3.0,0,3.0,1,4,0,1.0,1,21361.0
48.0,0,3,10.0,3,1,3,4.0,4,3.0,1,2.0,1,5,1,2.0,0,32448.0
35.0,1,3,23.0,2,2,3,3.0,1,5.0,0,4.0,1,3,1,1.0,2,23966.0
31.0,1,1,27.0,2,2,3,4.0,1,5.0,0,2.0,0,4,1,1.0,2,28635.0
26.0,0,1,11.0,3,1,2,4.0,0,3.0,1,2.0,1,1,0,1.0,1,17366.0
54.0,1,1,25.0,3,1,3,3.0,1,5.0,1,1.0,1,3,0,0.0,2,20485.0
39.0,1,1,9.0,3,2,4,4.0,0,3.0,0,8.0,1,4,0,1.0,1,21735.0
44.0,1,1,16.0,2,2,2,3.0,1,3.0,1,3.0,1,3,0,1.0,2,21465.0
48.0,0,1,10.0,3,2,2,4.0,4,3.0,1,3.0,0,5,1,1.0,0,30202.0
43.0,1,1,13.0,2,1,2,3.0,3,5.0,1,1.0,0,5,1,0.0,3,24985.0
34.0,1,3,8.0,2,2,2,3.0,1,3.0,2,2.0,0,5,0,0.0,2,21274.0
27.0,1,3,36.0,3,2,3,4.0,1,3.0,1,7.0,0,5,0,1.0,2,22984.0
32.0,0,3,27.0,3,1,3,4.0,1,3.0,0,3.0,0,2,1,1.0,2,25610.0
31.0,1,3,36.0,1,2,3,4.0,3,4.0,1,5.0,0,4,0,2.0,3,27928.0
36.0,1,1,11.0,2,2,3,3.0,1,4.0,2,1.0,0,2,0,2.0,2,20914.0
55.0,1,3,10.0,3,1,3,4.0,1,5.0,0,4.0,0,4,1,2.0,2,24618.0
51.0,1,1,8.0,3,2,2,5.0,1,4.0,1,6.0,0,1,0,1.0,2,20482.0
41.0,1,1,21.0,3,2,3,5.0,2,3.0,2,3.0,0,3,1,2.0,4,38304.0
59.0,1,3,31.0,2,1,2,3.0,3,5.0,3,1.0,0,3,1,0.0,3,22637.0
24.0,0,1,15.0,3,2,2,3.0,0,5.0,2,3.0,1,3,0,1.0,1,18172.0
46.0,1,3,8.0,3,1,3,3.0,4,5.0,1,1.0,0,1,1,1.0,0,32048.0
51.0,1,3,27.0,3,2,3,3.0,1,3.0,2,1.0,1,5,1,1.0,2,20441.0
47.0,0,1,6.0,3,1,3,3.0,3,4.0,1,1.0,0,5,0,0.0,3,26957.0
44.0,1,3,16.0,3,0,3,6.0,1,3.0,3,2.0,0,2,1,2.0,2,24024.0
36.0,1,1,16.0,2,1,4,5.0,3,3.0,1,3.0,1,4,1,3.0,3,29363.0
41.0,1,1,9.0,2,2,4,4.0,1,3.0,3,3.0,0,3,1,3.0,2,23339.0
56.0,1,1,13.0,1,2,3,3.0,0,3.0,1,1.0,0,4,1,2.0,1,17339.0
38.0,0,1,12.0,1,2,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0
35.0,1,3,16.0,3,2,2,4.0,3,5.0,1,1.0,0,5,1,1.0,3,25306.0
29.0,1,1,9.0,3,2,3,4.0,3,3.0,1,2.0,0,1,0,2.0,3,26935.0
44.0,1,1,14.0,2,1,3,4.0,3,5.0,1,2.0,0,5,1,1.0,3,28663.0
44.0,0,1,16.0,3,2,4,4.0,1,3.0,1,5.0,1,3,1,1.0,2,24357.0
38.0,0,1,29.0,2,2,2,4.0,3,3.0,3,1.0,0,3,1,0.0,3,24526.0
25.0,1,1,24.0,3,1,3,5.0,1,3.0,1,3.0,0,3,0,1.0,2,23055.0
42.0,0,1,27.0,3,1,2,3.0,1,3.0,1,3.0,0,2,0,0.0,2,20265.0
39.0,1,3,10.0,2,1,2,4.0,1,3.0,1,5.0,0,5,1,1.0,2,20902.0
26.0,1,1,7.0,1,2,3,4.0,0,3.0,0,6.0,0,5,1,2.0,1,21907.0
30.0,0,3,18.0,2,2,3,4.0,0,5.0,1,2.0,0,5,1,2.0,1,17033.0
36.0,1,1,14.0,1,1,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0
35.0,1,1,28.0,2,1,3,1.0,3,4.0,1,1.0,0,5,1,2.0,3,26996.0
28.0,1,1,15.0,3,2,3,3.0,0,3.0,0,2.0,0,2,1,1.0,1,17070.0
26.0,1,3,12.0,3,2,3,5.0,1,3.0,3,3.0,1,3,1,1.0,2,24422.0
30.0,1,1,15.0,3,2,2,4.0,0,3.0,2,2.0,0,4,1,1.0,1,17206.0
36.0,1,3,9.0,2,2,2,4.0,3,3.0,1,2.0,1,1,1,0.0,3,25325.0
30.0,0,1,31.0,2,2,4,5.0,0,3.0,2,3.0,1,3,1,3.0,1,21117.0
50.0,1,3,5.0,3,2,2,3.0,2,3.0,1,5.0,1,5,0,1.0,4,34331.0
29.0,1,3,8.0,3,2,3,4.0,1,4.0,0,3.0,0,4,0,1.0,2,21644.0
44.0,1,3,16.0,3,0,3,6.0,1,3.0,3,2.0,0,1,0,1.0,2,24024.0
32.0,0,1,10.0,3,2,4,4.0,3,3.0,1,2.0,0,4,1,3.0,3,32353.0
24.0,1,1,27.0,1,2,2,4.0,0,5.0,1,1.0,0,3,0,0.0,1,17296.0
27.0,0,1,18.0,3,2,3,4.0,1,5.0,0,3.0,1,3,1,2.0,2,23419.0
40.0,1,1,14.0,3,2,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0
23.0,0,1,23.0,3,2,4,2.0,0,3.0,1,3.0,1,3,0,3.0,1,21613.0
43.0,0,1,27.0,3,2,3,3.0,0,3.0,0,1.0,0,4,0,2.0,1,17258.0
33.0,0,1,13.0,2,2,2,3.0,1,3.0,1,2.0,0,5,1,1.0,2,20968.0
50.0,1,1,15.0,2,2,3,3.0,0,3.0,1,5.0,0,5,1,2.0,1,17380.0
28.0,0,1,10.0,3,2,4,5.0,0,3.0,1,3.0,1,1,0,3.0,1,21244.0
53.0,1,3,6.0,3,1,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0
50.0,0,3,6.0,2,1,3,3.0,1,3.0,0,1.0,0,2,1,1.0,2,21347.0
35.0,1,1,24.0,2,1,3,4.0,0,3.0,3,3.0,1,5,1,1.0,1,23216.0
34.0,0,3,7.0,2,1,3,2.0,1,5.0,1,4.0,0,3,0,2.0,2,24054.0
46.0,1,3,6.0,3,1,3,3.0,3,5.0,1,2.0,0,2,1,1.0,3,25453.0
52.0,1,1,17.0,2,1,2,3.0,1,3.0,1,1.0,0,1,1,0.0,2,18149.0
47.0,1,3,9.0,1,1,4,6.0,4,4.0,1,5.0,1,5,1,1.0,0,35550.0
44.0,1,1,15.0,2,2,3,3.0,0,5.0,1,2.0,1,3,1,0.0,1,17559.0
33.0,1,1,32.0,2,2,3,4.0,0,3.0,3,3.0,1,5,0,1.0,1,21473.0
25.0,1,3,34.0,2,2,2,4.0,1,3.0,1,3.0,0,4,1,1.0,2,23639.0
44.0,1,3,9.0,3,2,4,4.0,1,3.0,1,3.0,1,3,0,1.0,2,26525.0
33.0,0,1,6.0,2,0,3,3.0,3,3.0,3,2.0,1,2,1,0.0,3,28458.0
37.0,1,1,17.0,1,1,4,4.0,3,3.0,0,5.0,0,3,0,3.0,3,25772.0
30.0,1,1,13.0,3,2,2,4.0,0,4.0,1,2.0,0,5,0,0.0,1,17141.0
42.0,1,3,13.0,3,2,3,4.0,3,3.0,3,3.0,0,5,1,1.0,3,27919.0
30.0,0,1,9.0,3,1,3,3.0,0,3.0,1,2.0,0,3,1,1.0,1,17083.0
37.0,0,1,10.0,1,2,3,4.0,0,4.0,1,3.0,0,3,0,2.0,1,22370.0
32.0,1,1,16.0,2,2,3,5.0,0,4.0,3,2.0,1,3,1,1.0,1,21335.0
31.0,0,1,26.0,2,2,3,3.0,3,3.0,0,4.0,0,3,1,0.0,3,24824.0
50.0,0,1,15.0,2,2,4,5.0,1,4.0,1,3.0,0,1,0,1.0,2,23808.0
34.0,1,1,9.0,3,2,4,4.0,0,3.0,2,6.0,0,3,0,3.0,1,21174.0
39.0,0,1,19.0,2,2,2,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0
34.0,1,3,10.0,2,2,3,3.0,3,3.0,1,3.0,1,4,0,2.0,3,24713.0
48.0,0,3,11.0,3,2,4,4.0,1,3.0,3,5.0,0,4,0,3.0,2,21654.0
33.0,0,3,14.0,2,1,2,4.0,0,3.0,2,1.0,0,2,1,1.0,1,17342.0
43.0,0,1,28.0,3,1,3,4.0,1,3.0,1,4.0,0,1,0,1.0,2,23943.0
46.0,1,3,27.0,2,1,3,4.0,1,3.0,3,2.0,0,1,1,1.0,2,23528.0
37.0,1,1,23.0,2,1,3,2.0,0,5.0,3,3.0,0,1,1,1.0,1,21421.0
31.0,0,3,26.0,3,1,2,3.0,1,3.0,0,2.0,0,2,1,0.0,2,21932.0
23.0,1,1,18.0,3,1,3,4.0,0,4.0,1,3.0,0,1,1,2.0,1,20922.0
39.0,1,1,11.0,3,1,3,4.0,0,3.0,1,2.0,0,5,0,1.0,1,21984.0
41.0,1,1,13.0,2,1,4,4.0,4,3.0,2,2.0,0,5,1,1.0,0,31915.0
42.0,1,3,20.0,3,1,3,4.0,1,3.0,2,1.0,0,3,0,0.0,2,21244.0
33.0,0,1,11.0,2,1,3,3.0,3,4.0,0,7.0,0,3,1,2.0,3,26878.0
33.0,1,3,13.0,3,2,3,4.0,1,3.0,3,3.0,0,5,1,2.0,2,23688.0
37.0,1,1,10.0,1,2,2,4.0,1,4.0,3,6.0,0,2,1,1.0,2,23163.0
43.0,0,3,21.0,2,2,2,4.0,1,3.0,1,4.0,0,5,1,0.0,2,21804.0
36.0,1,3,19.0,3,2,3,4.0,1,5.0,1,6.0,1,1,1,0.0,2,21134.0
37.0,0,1,25.0,2,2,3,2.0,0,3.0,1,6.0,0,5,1,2.0,1,22366.0
49.0,1,1,10.0,3,2,2,4.0,2,3.0,1,3.0,0,3,0,1.0,4,33711.0
45.0,1,1,26.0,3,2,3,5.0,3,5.0,1,3.0,1,3,0,0.0,3,25851.0
29.0,1,1,9.0,3,2,3,4.0,0,3.0,3,8.0,0,3,1,2.0,1,23060.0
41.0,0,1,33.0,3,1,4,5.0,1,3.0,0,5.0,1,2,1,1.0,2,23100.0
40.0,1,1,31.0,2,2,3,4.0,1,3.0,3,2.0,0,4,1,1.0,2,22786.0
42.0,1,1,13.0,3,1,3,1.0,1,4.0,0,7.0,1,1,0,0.0,2,17372.0
33.0,1,1,10.0,2,1,3,4.0,3,3.0,2,5.0,0,2,1,2.0,3,29837.0
39.0,1,1,30.0,2,2,3,4.0,1,3.0,1,2.0,0,3,0,2.0,2,24423.0
36.0,0,3,6.0,3,1,2,3.0,1,3.0,3,5.0,0,2,1,1.0,2,21653.0
32.0,1,3,14.0,2,2,3,5.0,0,3.0,0,5.0,0,4,1,2.0,1,21007.0
20.0,1,1,17.0,3,1,3,4.0,0,5.0,2,2.0,1,3,1,2.0,1,17600.0
41.0,1,1,20.0,2,2,2,3.0,0,3.0,1,5.0,0,4,1,1.0,1,17451.0
55.0,1,1,8.0,1,2,3,4.0,0,3.0,1,1.0,0,5,0,0.0,1,17662.0
25.0,1,1,7.0,3,2,4,4.0,0,3.0,0,4.0,1,3,1,3.0,1,20971.0
32.0,1,3,15.0,2,2,3,4.0,3,3.0,1,3.0,0,3,1,1.0,3,29471.0
36.0,1,3,11.0,1,2,3,4.0,3,5.0,3,2.0,1,4,1,2.0,3,28260.0
30.0,1,1,34.0,3,1,3,3.0,1,3.0,0,2.0,0,3,0,2.0,2,20775.0
36.0,0,1,30.0,2,1,2,3.0,1,4.0,1,1.0,0,3,1,1.0,2,20674.0
19.0,0,3,12.0,3,2,4,4.0,0,4.0,2,3.0,1,4,1,3.0,1,20556.0
38.0,1,1,12.0,3,2,4,4.0,1,3.0,1,2.0,0,3,1,3.0,2,25025.0
36.0,1,1,7.0,3,2,3,5.0,0,3.0,1,8.0,0,1,1,2.0,1,20936.0
33.0,1,3,14.0,2,2,2,3.0,1,5.0,1,3.0,0,5,1,0.0,2,21392.0
35.0,0,1,6.0,3,2,3,3.0,0,5.0,0,5.0,0,2,0,1.0,1,17194.0
32.0,1,3,13.0,3,2,4,2.0,1,3.0,1,6.0,0,5,1,2.0,2,24138.0
28.0,1,3,11.0,3,2,3,3.0,1,3.0,2,2.0,0,3,1,0.0,2,19908.0
29.0,1,1,9.0,2,2,4,4.0,0,3.0,3,4.0,0,4,0,2.0,1,22163.0
33.0,1,3,17.0,3,2,3,4.0,1,3.0,3,3.0,0,4,1,2.0,2,24074.0
49.0,1,1,7.0,2,1,3,5.0,4,5.0,1,2.0,0,4,0,1.0,0,34080.0
36.0,1,3,9.0,3,0,2,3.0,1,4.0,3,4.0,1,4,0,1.0,2,24278.0
48.0,1,1,9.0,3,1,4,4.0,1,3.0,1,7.0,0,2,0,2.0,2,23748.0
38.0,0,1,8.0,2,1,3,1.0,1,5.0,2,7.0,1,2,1,2.0,2,20980.0
48.0,1,3,22.0,2,1,3,3.0,1,3.0,1,1.0,0,4,1,0.0,2,21439.0
31.0,0,3,6.0,2,1,2,3.0,0,4.0,2,2.0,1,5,1,1.0,1,17302.0
26.0,1,1,14.0,3,2,4,5.0,0,3.0,0,3.0,0,2,1,3.0,1,21567.0
36.0,0,1,9.0,3,2,3,4.0,1,3.0,1,4.0,0,3,0,2.0,2,24440.0
43.0,0,1,15.0,3,2,3,3.0,1,3.0,1,4.0,1,3,1,0.0,2,20679.0
39.0,0,1,9.0,2,0,4,2.0,1,5.0,3,8.0,1,2,1,3.0,2,24658.0
35.0,1,1,12.0,2,2,2,5.0,1,3.0,3,2.0,0,5,0,1.0,2,21646.0
51.0,1,1,14.0,2,2,2,4.0,3,4.0,0,6.0,0,3,1,1.0,3,27490.0
45.0,1,1,15.0,2,2,2,3.0,1,4.0,1,1.0,0,4,1,0.0,2,17348.0
44.0,1,1,19.0,2,2,3,5.0,4,4.0,1,3.0,0,3,0,2.0,0,33014.0
41.0,1,1,15.0,3,2,4,5.0,0,3.0,3,3.0,1,4,1,3.0,1,27772.0
38.0,0,1,17.0,3,2,4,4.0,3,3.0,1,8.0,0,3,0,3.0,3,28726.0
51.0,1,1,35.0,3,2,4,2.0,0,3.0,1,3.0,1,1,0,2.0,1,21899.0
23.0,1,1,10.0,2,1,3,4.0,1,3.0,1,2.0,1,5,1,2.0,2,22849.0
50.0,0,1,8.0,2,2,3,3.0,4,5.0,1,2.0,0,5,1,1.0,0,32924.0
59.0,1,2,12.0,3,2,2,3.0,0,3.0,0,1.0,0,4,1,0.0,1,17267.0
34.0,1,2,9.0,2,2,3,4.0,0,3.0,0,3.0,0,2,0,1.0,1,22278.0
28.0,1,1,30.0,2,2,2,4.0,0,3.0,2,6.0,1,2,0,0.0,1,17028.0
52.0,1,1,9.0,3,2,3,6.0,1,4.0,1,7.0,0,1,0,2.0,2,24160.0
51.0,1,3,10.0,3,2,3,5.0,0,3.0,1,3.0,1,4,1,2.0,1,21361.0
31.0,1,1,6.0,2,2,3,4.0,0,5.0,0,2.0,0,4,0,0.0,1,17218.0
28.0,1,1,30.0,3,2,2,3.0,0,4.0,1,2.0,1,1,0,0.0,1,17408.0
41.0,1,1,22.0,2,1,4,5.0,3,3.0,1,3.0,0,1,1,2.0,3,29113.0
48.0,1,1,9.0,3,1,4,4.0,1,3.0,1,7.0,0,1,0,1.0,2,23748.0
27.0,0,3,14.0,2,2,2,3.0,3,3.0,3,2.0,0,1,1,0.0,3,23726.0
33.0,1,1,21.0,3,2,2,3.0,3,3.0,0,1.0,1,5,0,0.0,3,28610.0
28.0,1,1,26.0,2,2,4,5.0,0,5.0,1,3.0,0,1,0,1.0,1,22744.0
33.0,1,1,8.0,3,2,3,3.0,0,3.0,2,5.0,0,3,0,2.0,1,17496.0
36.0,1,2,14.0,2,2,3,4.0,0,5.0,0,1.0,0,2,1,2.0,1,17342.0
32.0,1,1,31.0,3,0,4,5.0,1,5.0,3,3.0,0,5,1,1.0,2,25490.0
30.0,0,3,9.0,2,2,4,4.0,1,3.0,1,3.0,0,1,1,2.0,2,23327.0
29.0,1,1,16.0,2,1,3,4.0,0,5.0,2,7.0,1,5,1,0.0,1,17404.0
35.0,1,1,13.0,3,2,3,4.0,0,5.0,3,4.0,0,2,1,2.0,1,21638.0
31.0,1,3,13.0,3,2,3,3.0,1,3.0,1,5.0,0,1,0,0.0,2,22547.0
26.0,1,3,15.0,2,1,3,4.0,1,3.0,1,2.0,1,1,1,2.0,2,23585.0
29.0,1,1,7.0,2,2,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,20722.0
35.0,1,3,35.0,3,1,4,5.0,1,3.0,1,3.0,0,5,1,1.0,2,25390.0
47.0,1,1,25.0,3,1,3,4.0,1,3.0,1,4.0,0,5,0,1.0,2,23488.0
19.0,0,1,15.0,3,2,4,4.0,0,3.0,2,3.0,0,5,0,1.0,1,20582.0
41.0,1,1,9.0,3,1,3,5.0,0,3.0,2,2.0,1,3,0,1.0,1,21020.0
60.0,1,1,9.0,2,1,4,5.0,4,3.0,2,5.0,1,5,0,3.0,0,32404.0
46.0,1,3,15.0,3,2,3,4.0,3,3.0,3,2.0,0,5,1,2.0,3,24619.0
29.0,1,1,14.0,2,2,4,4.0,0,5.0,3,5.0,1,3,0,3.0,1,25352.0
37.0,1,1,16.0,3,2,3,5.0,1,4.0,1,4.0,1,4,1,1.0,2,27525.0
44.0,0,1,6.0,3,2,2,3.0,0,4.0,1,2.0,1,3,1,1.0,1,17342.0
34.0,0,3,7.0,2,1,3,3.0,1,5.0,0,4.0,0,3,1,1.0,2,24054.0
50.0,1,1,10.0,2,2,3,3.0,2,4.0,1,4.0,0,5,1,0.0,4,34144.0
23.0,1,1,12.0,2,2,3,1.0,0,5.0,1,2.0,1,3,0,0.0,1,16601.0
57.0,1,1,21.0,2,1,4,4.0,0,4.0,1,2.0,1,5,1,1.0,1,23641.0
35.0,1,3,15.0,1,2,4,2.0,1,3.0,1,3.0,0,1,0,3.0,2,25477.0
30.0,1,1,32.0,1,1,4,5.0,0,4.0,1,7.0,0,3,1,3.0,1,21224.0
29.0,0,3,6.0,3,1,2,3.0,3,3.0,0,2.0,0,3,1,0.0,3,22918.0
39.0,0,1,9.0,2,2,3,4.0,0,3.0,0,3.0,1,5,1,2.0,1,20380.0
30.0,0,1,7.0,2,2,4,6.0,0,3.0,1,3.0,0,2,1,1.0,1,21398.0
34.0,0,1,22.0,2,1,3,4.0,0,3.0,2,2.0,0,5,1,1.0,1,17553.0
60.0,1,3,10.0,2,0,3,5.0,1,3.0,3,7.0,0,3,0,1.0,2,23849.0
28.0,1,1,9.0,2,1,3,4.0,0,5.0,1,3.0,0,3,0,2.0,1,21019.0
19.0,0,3,6.0,1,1,3,5.0,0,5.0,2,1.0,0,3,1,1.0,1,17325.0
39.0,1,3,9.0,3,1,2,3.0,1,3.0,0,5.0,1,4,1,1.0,2,20238.0
42.0,1,3,7.0,3,2,3,3.0,3,5.0,0,3.0,0,3,1,2.0,3,27070.0
52.0,1,3,28.0,3,2,4,4.0,1,3.0,3,2.0,1,5,0,3.0,2,24119.0
37.0,1,1,13.0,3,2,1,3.0,3,3.0,2,5.0,0,2,0,0.0,3,28664.0
58.0,1,3,27.0,2,1,3,3.0,4,3.0,1,5.0,1,5,1,0.0,0,32875.0
59.0,1,1,8.0,2,1,3,4.0,4,3.0,2,4.0,1,5,1,0.0,0,28726.0
